Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremini & Shiitake Mushroom Soup,1,Serving,340.5,326.05,134.76,21.27,12.76,35.44,13.93,0.01,7.22,1.78,0.36,13.42,15.07,2.36,9.15,2.09,0,0,101.42,790.8,39.54,79.08,0,461.37,0.05,0.18,1.83,2.22,0.17,0.02,1.21,10.97,4.76,0.11,0.8,20.47,20.47,4.39,0.77,98,0.09,0.18,0.01,0.68,4.49,57.4,0.24,2.17,171.41,663.99,7.51,665.44,1.54,0.05,0.55,0.57,0,8.54
"    cannellini beans, dry",1,Ounce-weight,28.35,94.12,3.57,0.77,5.87,16.75,9.7,0,0.4,0,0,6.66,0.4,0.09,0,0,0,0,0,4.82,0.24,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.48,0,0,0,0,2.18,42.52,0,0,100.92,391.22,0,0,0.94,0,0,0,0,0
"    onion, white, fresh, chopped",1.2,Ounce-weight,34.02,13.61,0.31,0.13,0.37,3.18,0.58,0,1.44,1.11,0.34,1.16,0.03,0.01,0,0.01,0,0,30.31,0.68,0.03,0.07,0,0.34,0.02,0.01,0.04,0.12,0.04,0,1.19,2.52,0,0,0.01,6.46,6.46,0.14,0.04,7.82,0,0.01,0,0.68,0.07,3.4,0.04,1.7,9.87,49.67,0.17,1.36,0.06,0,0,0,0,2.08
"    shallots, fresh, chopped",0.332,Ounce-weight,9.41,6.78,0.08,0.01,0.24,1.58,0.3,0,0.74,0,0,0.54,0.01,0,0,0,0,0,7.51,0.38,0.02,0.04,0,0.28,0.01,0,0.02,0.06,0.03,0,0,0.75,0,0,0,3.2,3.2,0.08,0.03,3.48,0,0.01,0,0,0.11,1.98,0.03,0.47,5.65,31.44,0.11,1.13,0.04,0,0,0,0,1.06
"    mushrooms, brown, fresh, sliced",0.05,Pound,22.68,4.99,0.2,0.03,0.57,0.98,0.14,0,0.39,0,0,0.45,0.02,0,0,0.01,0,0,20.89,0,0,0,0,0,0.02,0.11,0.86,1.07,0.02,0.02,0,0,0.68,0.02,0,5.67,5.67,0,0.34,4.08,0,0.11,0,0,0.09,2.04,0.03,0,27.22,101.6,5.9,1.36,0.25,0,0.01,0,0,5.01
"    mushrooms, shiitake, fresh",0.05,Pound,22.68,7.71,1,0,0.51,1.54,0.57,0,0.54,0.54,0,0.43,0.11,0,0,0,0,0,20.35,0,0,0,0,0,0,0.05,0.88,0.91,0.07,0,0,0,4.08,0.09,0,2.95,2.95,0,0.34,0.45,0,0.03,0,0,0.09,4.54,0.05,0,25.4,68.95,1.29,2.04,0.23,0,0,0,0,0
"    wine, cooking, white",0.025,Cup,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0.57,0,0
"    oil, olive",0.2,Fluid ounce,5.4,47.74,47.74,6.71,0,0,0,0,0,0,0,0,5.4,0.75,3.94,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,3.25,0,0.05,0,0,0,0,0.03,0,0,0,0,0.05,0,0.11,0,0.04,0.53,0,0,0.02
"    chives, ground",0.1,Ounce-weight,2.83,10.49,1.02,0,0.68,1.67,0.91,0,0,0,0,0,0.11,0,0,0,0,0,0.13,737.94,36.9,73.79,0,442.76,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,30.33,0,0,0,0,0.38,0,0,0,0,0,0,2.86,0,0,0,0,0,0
