5c07a873a56a67691f9fd6e6
Date,Meal Type,Meal Name,Limiting nutritions,Prioritized nutrtions,Meal provider,Price
Feb 1,Lunch,"[u'Oats', u'Flax seeds', u'Chia seeds', u'Berries', u'Cinnamon', u'Berries', u'Coconut milk', u'Cashew nuts', u'Pure vanilla extract', u'Stevia']",[],[],,0
Feb 1,dinner,"[u'wine, cooking, white', u'onion, white, fresh, chopped', u'celery, fresh, stalk', u'Garlic', u'onion, cippolini, fresh, peeled, medium', u'fennel, fresh, bulb', u'arugula, fresh, chopped', u'lemon juice, fresh', u'oil, olive', u'nutritional yeast', u'broth, vegetable', u'beans, small white, dry', u'cashews, raw, whole', u'water, tap', u'rice, brown, dry, short grain', u'Euphebe Organic Vegetable Stock', u'sea salt, california']",[],[],,0
Feb 2,Lunch,"[u'oil, olive', u'onion, yellow, fresh, chopped', u'Garlic', u'celery, fresh, stalk', u'Carrots', u'tempeh', u'mushrooms, crimini, fresh', u'black pepper, ground', u'nutmeg, ground', u'tomatoes, crushed, canned', u'Tomato', u'wine, white, chardonnay', u'cashews, raw, whole', u'bay leaf, dried', u'water, tap', u'Salt', u'Spelt pasta']",[],[],,0
Feb 2,dinner,"[u'Corn, sweet, white, raw', u'Corn, sweet, white, raw', u'Cabbage', u'Broccoli', u'Carrots', u'Garbanzo beans, cooked', u'Yellow onions. saute', u'Garlic', u'Onions', u'Oregano Dried', u'Paprika', u'Peppers', u'Salt', u'Chili powder', u'Cumin']",[],[],,0
Feb 3,Lunch,"[u'Cabbage', u'Cabbage', u'Olives. canned', u'Quinoa', u'Tahini', u'Vinegar Cider', u'Basil Dried', u'Garlic', u'Thyme Dried', u'Oregano Dried', u'Rosemary dried', u'Dates', u'Cucumber with peel. raw', u'Peppers', u'Salt']",[],[],,0
Feb 3,dinner,"[u'tempeh', u'pinto beans', u'Gluten free tamari', u'Onions', u'red bell pepper', u'Peppers', u'yellow corn', u'swiss chard', u'water', u'olive oil', u'chili pepper powder', u'cumin', u'paprika', u'Garlic', u'oregano', u'cayenne chili pepper', u'Salt', u'brown rice', u'cilantro', u'lime juice', u'Avocado', u'cashews']",[],[],,0
Feb 4,Lunch,"[u'tempeh', u'thyme, dried, leaves', u'oregano, dried, leaves', u'paprika', u'Garlic', u'black pepper, ground', u'vinegar, balsamic', u'soy sauce, tamari', u'tomato sauce, canned, unsalted', u'mushrooms, crimini, fresh', u'onion, red, fresh', u'bell pepper, red, fresh, chopped', u'bell pepper, yellow, fresh, large, 3 3/4""', u'basil, dried, ground', u'oil, olive', u'lemon juice, fresh', u'zucchini, fresh, with skin', u'Alvarado Street Bakery Sprouted Whole Wheat Tortilla', u'Salt']",[],[],,0
Feb 4,dinner,"[u'eggplant, fresh, cubes', u'onion, white, fresh, chopped', u'Garlic', u'chili peppers, red, crushed flakes', u'beans, small white, dry', u'parsley, fresh, sprigs', u'flax seeds, brown, ground', u'rice, brown, puffed', u'black pepper, ground', u'lemon juice, fresh', u'oil, olive', u'Salt', u'sweet potatoes, fresh, cubes', u'Oil, butter', u'oregano, ground', u'chili powder, Eagle, food service', u'paprika, ground', u'parsnips, fresh, sliced']",[],[],,0
Feb 5,Lunch,"[u'Green Lentil Penne', u'black pepper, ground', u'broccoli florets, fresh', u'broth, vegetable, low sodium', u'cashews, raw, whole', u'water, tap', u'cauliflower florets, fresh', u'garlic cloves, fresh', u'Garlic', u'lemon juice, fresh', u'nutritional yeast', u'oil, olive', u'onion powder', u'peas, green, frozen', u'Salt']",[],[],,0
Feb 5,dinner,"[u'Frozen edamame', u'Corn, sweet, white, raw', u'White beans, cooked', u'Yellow onions. saute', u'White potato. cooked with peel', u'Cumin', u'Onions', u'Garlic', u'Garlic', u'Salt', u'Dates', u'Canned tomatoes. Stewed', u'Vinegar Cider', u'Onions', u'Dill dried', u'Teff, cooked', u'Sorghum grain']",[],[],,0
Feb 6,Lunch,"[u'tricolor quinoa', u'brown rice', u'Cauliflower', u'Celery', u'kohlrabi', u'Brussel Sprouts', u'winter squash', u'kale', u'apple', u'Onions', u'dried cranberries', u'almonds', u'pumpkin seeds', u'pecans', u'almond oil', u'balsamic vinegar', u'lemon juice', u'parsley', u'Salt']",[],[],,0
Feb 6,dinner,"[u'Garbanzo bean flour', u'Teff, cooked', u'White potato. cooked with peel', u'Pinto beans. sprouted. cooked', u'Tomato', u'Yellow onions. saute', u'Nutritional Yeast', u'Garlic', u'Onions', u'Peppers', u'Salt', u'Sage ground', u'Soy sauce', u'Hickory']",[],[],,0
Feb 7,Lunch,"[u'white onion', u'Tomato', u'kalamata olives', u'kalamata olive juice', u'Peppers', u'caper juice', u'Garlic', u'olive oil', u'chili pepper flakes', u'parsley', u'white beans', u'seaweed', u'red bell pepper', u'Carrots', u'water', u'Salt']",[],[],,0
Feb 7,dinner,"[u'Brown Rice Medium-Grain', u'Garbanzo beans, cooked', u'Tomato', u'Spinach Cooked', u'Garlic', u'Pinto beans. sprouted. Cooked', u'Teff, cooked', u'Parsley Dried', u'Canned tomatoes. stewed', u'Salt', u'Onions', u'Thyme Dried', u'Rosemary dried', u'Marjoram. Dried', u'Sage ground', u'Oregano Dried', u'Nutritional yeast']",[],[],,0
