5c07a873a56a67691f9fd6e6
Date,Meal Type,Meal Name,Limiting nutritions,Prioritized nutrtions,Meal provider,Price
Feb 1,Lunch,Lunchtime Chili (GF),[],[],Euphebe,0
Feb 1,dinner,White Bean Korma with Tricolor Quinoa (GF),[],[],Euphebe,0
Feb 2,Lunch,Louisiana Jambalaya,[],[],Euphebe,0
Feb 2,dinner,Thai Coconut Green Curry with Lemongrass Rice (GF),[],[],Euphebe,0
Feb 3,Lunch,Tuscan Farro Salad,[],[],Euphebe,0
Feb 3,dinner,Veggie Brunch Pie with Roasted Red Pepper Sauce (GF),[],[],Euphebe,0
Feb 4,Lunch,Marcella Inspired Bolognese with Spelt Fusilli,[],[],Euphebe,0
Feb 4,dinner,Penne w/ Puttanesca,[],[],Euphebe,0
Feb 5,Lunch,Wild Mushroom Risotto (GF),[],[],Euphebe,0
Feb 5,dinner,Creamy Broccoli Soup (GF),[],[],Euphebe,0
Feb 6,Lunch,Cauliflower Farrotto with Spicy Almonds,[],[],Euphebe,0
Feb 6,dinner,Tomato & Cannellini Bean Soup (GF),[],[],Euphebe,0
Feb 7,Lunch,"""Not-so-Stuffing"" Quinoa Salad",[],[],Euphebe,0
Feb 7,dinner,Lunchtime Rita with Green Salsa,[],[],Euphebe,0
